repository,McCC,NL,NLE,NII,NOI,CD,CLOC,DLOC,TCD,TCLOC,LLOC,LOC,NOS,NUMPAR,TLLOC,TLOC,TNOS
RaRe-Technologies_gensim,2.218504966021955,0.0,0.0,0.0,0.3915316257187663,0.0,7.542080501829587,6.270256142185049,0.0,7.566649242028228,10.168322007318348,18.582854155776268,7.478306325143754,2.0041819132253007,10.251437532671195,18.69053842132776,7.535807631991636
aws_aws-cli,1.3972578660573036,0.0,0.0,0.0,0.4410265424503428,0.0,0.934434874318861,0.3505009667779926,0.0,0.9383019862893304,9.6596941465987,11.05097556688346,5.022499560555458,1.6030936895763754,9.680435928985762,11.07259623835472,5.031815784847952
ipython_ipython,2.654151242728715,0.0,0.0,0.0,0.3685880486515071,0.0,5.043363299841354,3.564780539397145,0.0,5.100475938656795,10.212057112638815,16.06663141195135,6.859333685880486,1.97567424643046,10.53358011634056,16.442622950819672,7.051824431517716
Delgan_loguru,2.954356846473029,0.0,0.0,0.0,0.3526970954356846,0.0,4.813278008298755,4.493775933609959,0.0,4.813278008298755,9.705394190871369,15.634854771784232,6.365145228215767,2.240663900414938,10.066390041493776,16.070539419087137,6.622406639004149
ranger_ranger,3.885067873303168,0.0,0.0,0.0,0.453393665158371,0.0,1.395475113122172,0.6805429864253394,0.0,1.4226244343891403,10.589140271493212,12.729411764705882,8.070588235294117,1.8895927601809956,10.877828054298645,13.048868778280545,8.256108597285069
aio-libs_aiohttp,2.124845488257108,0.0,0.0,0.0,0.245982694684796,0.0,0.899876390605686,0.3899876390605686,0.0,0.907292954264524,9.38627935723115,11.024721878862794,5.440667490729296,1.9449938195302845,9.53831891223733,11.18726823238566,5.5364647713226205
plotly_plotly.py,1.769483257046495,0.0,0.0,0.0,0.0197241628523247,0.0,10.261382799325464,9.221844133943629,0.0,10.262828234160445,11.306311732112745,21.17757769212238,2.8609371235846783,2.7543664177306675,11.320464948205252,21.193507588532885,2.866327390990123
ddbourgin_numpy-ml,2.1443736730360934,0.0,0.0,0.0,0.3152866242038216,0.0,10.644373673036094,9.926751592356688,0.0,10.64755838641189,10.48832271762208,22.51061571125265,6.916135881104034,2.529723991507431,10.503184713375797,22.528662420382165,6.929936305732484
mlflow_mlflow,1.944576674600476,0.0,0.0,0.0,0.3624617477048623,0.0,3.735464127847671,3.1866712002720163,0.0,3.7619857191431487,8.80890853451207,12.956137368242096,4.515810948656919,2.314518871132268,9.058143488609316,13.241754505270316,4.653859231553893
pytorch_vision,2.1235955056179776,0.0,0.0,0.0,0.5522141440846001,0.0,1.3000660938532715,0.592531394580304,0.0,1.3113020489094511,10.995042961004629,13.472901520158626,6.241242564441507,2.7951090548578983,11.17151354923992,13.667547918043622,6.342696629213483
python_mypy,2.724327195467422,0.0,0.0,0.0,0.6359773371104815,0.0,1.7202549575070822,0.6703257790368272,0.0,1.739199716713881,9.2268059490085,11.213881019830028,5.512570821529745,2.239553824362606,9.312854107648723,11.310021246458923,5.554886685552408
Ciphey_Ciphey,1.8558951965065504,0.0,0.0,0.0,0.1222707423580786,0.0,1.537117903930131,0.7467248908296943,0.0,1.5414847161572052,7.098253275109171,8.914847161572052,4.067685589519651,1.3689956331877728,7.170305676855895,8.997816593886462,4.111353711790393
jantic_DeOldify,2.015929203539823,0.0,0.0,0.0,0.3433628318584071,0.0,0.6238938053097345,0.4513274336283185,0.0,0.6238938053097345,5.499115044247787,6.179646017699115,4.38141592920354,3.078761061946903,5.531858407079646,6.212389380530974,4.411504424778761
frappe_erpnext,3.2825219473264164,0.0,0.0,0.0,0.8242218675179569,0.0,0.9694732641660015,0.3306065442936951,0.0,0.9742617717478051,17.702913008778932,21.19772545889864,9.094772545889864,1.3487629688747007,17.875698324022345,21.384676775738228,9.174980047885075
sanic-org_sanic,2.671840354767184,0.0,0.0,0.0,0.2638580931263858,0.0,4.496674057649668,3.789356984478936,0.0,4.5266075388026605,10.73059866962306,15.546563192904657,5.267184035476719,2.4855875831485585,10.917960088691796,15.773835920177383,5.383592017738359
kovidgoyal_calibre,3.307625899280576,0.0,0.0,0.0,0.4165179856115107,0.0,1.0084604316546764,0.5110215827338129,0.0,1.0267625899280577,11.440345323741008,12.933870503597122,8.828374100719424,2.2199712230215827,11.851280575539567,13.372719424460431,9.140489208633094
quantopian_zipline,1.7656619385342789,0.0,0.0,0.0,0.2624113475177305,0.0,4.008274231678487,2.607269503546099,0.0,4.1054964539007095,14.528664302600474,20.18617021276596,5.6072695035461,2.2603427895981087,15.29403073286052,21.08067375886525,5.921985815602837
pypa_pipenv,2.969986357435198,0.0,0.0,0.0,0.3988176443838108,0.0,2.670911020160679,1.6292254054873427,0.0,2.6945581324844627,9.978323480369864,13.156131574958314,6.175079581628013,2.27012278308322,10.159314840078824,13.36425648021828,6.2902834621797785
nicolargo_glances,3.1284606866002216,0.0,0.0,0.0,0.4828349944629014,0.0,4.365448504983389,1.840531561461794,0.0,4.372093023255814,10.841638981173864,16.503875968992247,7.5869324473975635,1.9169435215946844,10.870431893687709,16.54042081949059,7.604651162790698
huggingface_diffusers,3.38655737704918,0.0,0.0,0.0,0.4675409836065574,0.0,5.038688524590164,3.376229508196721,0.0,5.059672131147541,19.26688524590164,27.18262295081967,10.14,3.43344262295082,19.644918032786887,27.624590163934425,10.39032786885246
freqtrade_freqtrade,3.07735982966643,0.0,0.0,0.0,0.396735273243435,0.0,4.610361958836054,3.441447835344216,0.0,4.612491128459901,12.508871540099362,18.706884315117104,7.185237757274663,2.6777856635911994,12.5486160397445,18.74946770759404,7.209368346344926
google_jax,1.5698366661578385,0.0,0.0,0.0,0.3920012211876049,0.0,0.954052816363914,0.2608762021065486,0.0,1.1163181193710885,9.90551060906732,11.840329720653337,5.741260876202107,2.009769500839566,12.010227446191422,14.058311708136165,6.895741108227751
oobabooga_text-generation-webui,2.6481481481481484,0.0,0.0,0.0,0.2481481481481481,0.0,0.8703703703703703,0.1222222222222222,0.0,0.8703703703703703,9.422222222222222,11.670370370370373,7.211111111111111,2.1703703703703705,9.514814814814814,11.766666666666667,7.274074074074074
mindsdb_mindsdb,2.6428778648099795,0.0,0.0,0.0,0.4644618508848274,0.0,2.4084711343196985,1.7539889759210907,0.0,2.430519292138091,12.724978241949522,16.79779518421816,7.463301421525965,1.943138961415724,12.901943719176096,17.009283434870902,7.588627792283145
matplotlib_matplotlib,2.4953666398066074,0.0,0.0,0.0,0.4744157937147462,0.0,6.044117647058823,4.977034649476229,0.0,6.085414987912974,9.122280419016922,15.7209911361805,6.225020145044319,2.4317082997582595,9.288678485092667,15.93392425463336,6.337228041901692
gradio-app_gradio,2.4996003197442045,0.0,0.0,0.0,0.1630695443645084,0.0,2.569944044764189,2.15347721822542,0.0,2.6003197442046364,17.519584332533974,20.81294964028777,7.233413269384492,3.2222222222222223,18.42286171063149,21.76498800959233,7.749800159872103
OpenBB-finance_OpenBBTerminal,3.75398867730314,0.0,0.0,0.0,0.2424086464230571,0.0,3.233144621718991,2.863612969634586,0.0,3.23623262995368,28.957282552753476,33.28255275347401,9.038600102933607,2.029850746268657,28.58620689655172,33.31909418425116,9.06484817292846
